,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
367,komsomolskiy,40.4272,71.7189,69.8,28,49,2.3,UZ,1619366119
368,sioux lookout,42.7333,-96.2336,44.01,75,1,23.02,US,1619366119
369,thinadhoo,0.5333,72.9333,83.01,64,51,4.43,MV,1619366119
370,kudahuvadhoo,2.6708,72.8944,83.55,67,39,6.73,MV,1619366120
371,havre-saint-pierre,50.2334,-63.5986,46.4,57,1,13.8,CA,1619366120
372,baymak,52.5933,58.3225,42.4,73,28,9.46,RU,1619366120
373,taybad,34.74,60.7756,76.93,19,12,15.77,IR,1619366121
374,hienghene,-20.6833,164.9333,71.74,91,100,5.55,NC,1619366121
375,bull savanna,6.1992,-10.2829,86.0,74,20,11.5,LR,1619366121
376,ocampo,21.65,-101.5,70.09,43,66,6.69,MX,1619366121
377,faya,18.3851,42.4509,66.2,59,75,9.22,SA,1619366122
378,dongzhen,22.3797,110.9389,76.35,89,100,2.1,CN,1619366122
379,zeya,53.75,127.2667,37.31,76,100,3.29,RU,1619366123
380,shunyi,40.125,116.6453,60.8,55,0,11.18,CN,1619366123
381,cacapava do sul,-23.1008,-45.7069,78.8,47,20,4.61,BR,1619366123
382,santana do livramento,-0.0583,-51.1817,89.6,66,40,5.75,BR,1619365871
383,olinda,-8.0089,-34.8553,82.4,69,40,11.5,BR,1619366109
384,olovyannaya,50.95,115.5667,49.3,19,100,8.37,RU,1619366124
385,gigmoto,13.7796,124.39,77.04,81,58,8.12,PH,1619366124
386,tavda,58.0425,65.2726,49.3,44,66,9.98,RU,1619366124
387,wonthaggi,-38.6044,145.5913,55.0,90,70,10.6,AU,1619366125
388,hanko,59.8333,22.95,42.01,72,100,4.0,FI,1619366125
389,brainerd,46.358,-94.2008,44.01,31,1,8.05,US,1619366125
390,mitsamiouli,-11.3847,43.2844,81.59,78,98,6.51,KM,1619366125
391,san rafael,13.3034,-4.8956,105.28,11,22,3.22,ML,1619365961
392,narsaq,60.9167,-46.05,51.8,32,75,19.57,GL,1619366126
393,miranda,3.2499,-76.2281,78.8,69,75,2.3,CO,1619366126
394,roquetas de mar,43.4973,1.3685,66.99,45,0,14.97,FR,1619366126
395,san andres,13.3034,-4.8956,105.28,11,22,3.22,ML,1619366071
396,port lincoln,-7.0349,29.7638,74.46,77,96,1.48,CD,1619366072
397,rocha,-34.4833,-54.3333,66.99,64,25,15.37,UY,1619366127
398,chone,-0.6833,-80.1,83.05,73,81,1.88,EC,1619366127
399,figeac,44.75,1.9167,66.0,33,100,3.0,FR,1619366128
400,dunedin,-45.8742,170.5036,48.0,44,73,1.99,NZ,1619366072
401,oksfjord,70.2396,22.3479,37.4,52,0,6.91,NO,1619366128
402,pochutla,15.7432,-96.4661,87.01,70,40,6.2,MX,1619366128
403,iraray,8.9936,118.0511,77.49,84,14,6.93,PH,1619366129
404,shizunai,42.3339,142.3669,36.88,89,100,8.19,JP,1619366083
405,emerald,-23.5333,148.1667,64.4,39,0,10.36,AU,1619366129
406,tanout,14.9709,8.8879,104.16,8,70,9.91,NE,1619366129
407,tuensang,26.2833,94.8333,69.08,36,42,2.8,IN,1619366130
408,alexandria,31.2156,29.9553,71.6,68,0,12.66,EG,1619365964
409,listvyanskiy,54.4399,83.4984,45.0,41,86,5.64,RU,1619366130
410,tura,25.5198,90.2201,79.2,25,29,3.44,IN,1619366130
411,padang,-0.9492,100.3543,78.84,84,98,2.57,ID,1619365930
412,alice springs,27.7523,-98.0697,84.2,64,1,11.5,US,1619366131
413,bucerias,20.75,-105.3333,77.0,73,1,4.61,MX,1619365968
414,san alberto,13.3034,-4.8956,105.28,11,22,3.22,ML,1619365961
415,qasigiannguit,68.8193,-51.1922,48.2,46,20,20.71,GL,1619366131
416,ribeira grande,42.7461,-8.4439,64.99,88,40,4.61,ES,1619366132
417,sterling,39.0062,-77.4286,57.99,71,90,12.66,US,1619366132
418,sao miguel do araguaia,20.5113,76.2129,91.4,14,90,5.12,IN,1619366132
419,carnarvon,-24.8667,113.6333,66.2,88,1,4.61,AU,1619366133
420,raudeberg,61.9875,5.1352,44.01,61,10,13.91,NO,1619366133
421,khuzhir,53.1939,107.3397,33.57,87,100,4.14,RU,1619366133
422,tahta,26.7693,31.5021,102.2,5,0,6.91,EG,1619366134
423,santa lucia,17.486,120.4348,75.0,74,0,4.29,PH,1619366064
424,mosquera,4.7059,-74.2302,66.51,57,98,4.12,CO,1619366134
425,wajir,1.7471,40.0573,91.4,46,20,9.93,KE,1619366134
426,qatana,33.4354,36.0815,89.6,8,0,6.91,SY,1619366135
427,evensk,61.95,159.2333,22.62,95,100,8.21,RU,1619366135
428,beyneu,45.3167,55.2,74.3,19,71,13.8,KZ,1619366135
429,mnogovershinnyy,53.9353,139.9242,16.95,83,71,2.48,RU,1619366136
430,roebourne,-20.7833,117.1333,77.94,61,0,1.68,AU,1619366136
431,klaksvik,62.2266,-6.589,48.2,81,100,12.66,FO,1619366136
432,kavaratti,10.5669,72.642,84.61,71,7,10.58,IN,1619366137
433,faanui,-16.4833,-151.75,80.53,66,7,3.51,PF,1619366077
434,osmena,10.5208,119.9258,79.7,80,50,6.93,PH,1619366137
435,alta floresta,69.9689,23.2717,37.4,52,0,6.91,NO,1619366137
436,sidrolandia,-20.9319,-54.9614,77.0,65,75,9.22,BR,1619366138
437,marawi,7.9986,124.2928,79.0,87,77,1.99,PH,1619366138
438,tondon,10.3667,-13.35,106.27,13,24,1.63,GN,1619366138
439,nizhniy kuranakh,45.3926,39.2364,48.2,87,75,11.18,RU,1619366139
440,arman,59.7,150.1667,10.63,78,26,8.99,RU,1619366139
441,honiara,-9.4333,159.95,78.3,85,94,1.36,SB,1619366139
442,fairbanks,64.8378,-147.7164,39.99,69,1,1.41,US,1619365956
443,hovd,48.0056,91.6419,31.14,28,76,1.03,MN,1619366140
444,deputatskiy,69.3,139.9,15.12,93,100,6.6,RU,1619366140
445,snezhnogorsk,69.1933,33.2531,33.8,75,75,15.66,RU,1619366140
446,wattegama,6.7989,81.4808,80.6,100,75,1.14,LK,1619366140
447,gambo,4.6482,22.2633,75.04,83,99,1.34,CF,1619366141
448,moron,-34.6534,-58.6198,68.0,65,3,4.0,AR,1619366141
449,pinega,64.7001,43.3936,43.41,86,100,6.55,RU,1619366142
450,barraute,48.4335,-77.6328,32.0,93,90,12.66,CA,1619366142
451,nolinsk,57.5596,49.9363,40.17,74,89,13.91,RU,1619366142
452,grand river south east,38.8755,-109.5012,64.99,19,1,16.11,US,1619366143
453,ndele,8.4109,20.6473,71.04,92,93,13.35,CF,1619366143
454,ballinrobe,53.6333,-9.2333,61.0,52,98,13.0,IE,1619366143
455,nyanguge,-2.55,33.2,69.8,88,75,6.24,TZ,1619366143
456,gizo,-8.103,156.8419,82.4,75,11,4.23,SB,1619366144
457,hirara,24.8,125.2833,71.44,68,3,16.75,JP,1619366144
458,sorland,67.667,12.6934,39.2,75,40,14.97,NO,1619366145
459,bose,45.4612,8.0137,75.0,41,68,1.01,IT,1619366145
460,carauari,-4.8828,-66.8958,90.16,55,70,3.33,BR,1619366145
461,ust-maya,60.4167,134.5333,25.57,98,97,2.46,RU,1619366146
462,sungaipenuh,-2.0833,101.3833,65.61,97,66,1.95,ID,1619366146
463,belin,45.9333,25.5667,57.0,50,93,4.0,RO,1619366146
464,vodyane,47.4875,34.4924,53.13,45,12,4.65,UA,1619366147
465,hervey bay,33.4982,-93.7771,64.4,63,1,8.05,US,1619366147
466,bulawayo,-20.15,28.5833,69.6,28,13,2.01,ZW,1619366147
467,qunduz,36.729,68.857,71.13,31,47,1.9,AF,1619366148
468,asmara,15.3333,38.9333,65.66,51,83,4.54,ER,1619365975
469,hauterive,46.0901,3.4459,71.6,35,0,5.75,FR,1619366148
470,okhotsk,59.3833,143.3,16.93,78,3,7.25,RU,1619366148
471,bandarbeyla,9.4942,50.8122,83.91,74,43,11.5,SO,1619366149
472,strezhevoy,60.7333,77.5889,48.2,49,0,6.71,RU,1619366149
473,basoko,1.2391,23.616,73.69,86,100,2.53,CD,1619366149
474,aksarka,66.5606,67.7975,33.44,96,100,7.78,RU,1619366150
475,reconquista,-29.15,-59.65,69.24,55,2,9.69,AR,1619366150
476,malaya vishera,14.3971,121.3385,82.0,78,27,3.0,PH,1619366150
477,yanam,16.7333,82.2167,87.8,66,20,11.5,IN,1619366151
478,solnechnyy,50.7214,136.6319,26.47,62,59,3.94,RU,1619366151
479,angoram,-4.0625,144.0661,72.54,99,100,2.75,PG,1619366151
480,portland,45.5234,-122.6762,51.01,81,90,5.75,US,1619365885
481,bobrovka,54.047,61.7455,51.76,47,94,11.52,RU,1619366152
482,puerto madero,36.5939,-6.233,69.8,73,20,12.66,ES,1619366113
483,cuencame,24.8711,-103.6964,76.78,12,10,4.41,MX,1619366152
484,maymyo,22.0333,96.4667,77.63,37,0,1.7,MM,1619366153
485,yining,29.0361,114.5636,59.85,95,100,2.04,CN,1619366153
486,plouzane,48.3833,-4.6167,60.8,54,0,25.32,FR,1619366153
487,antofagasta,-23.65,-70.4,68.0,52,0,4.61,CL,1619366153
488,rawlins,41.7911,-107.2387,55.99,30,20,19.57,US,1619366154
489,tondela,40.5167,-8.0833,70.0,74,82,1.01,PT,1619366154
490,nemuro,43.3236,145.575,32.5,70,50,19.06,JP,1619366154
491,sao miguel do iguacu,20.5113,76.2129,91.4,14,90,5.12,IN,1619366155
492,lukovetskiy,64.2956,41.9211,50.0,71,40,6.71,RU,1619366044
493,lingao,19.9103,109.6859,78.13,88,49,13.4,CN,1619366155
494,ambulu,-8.345,113.6058,75.56,88,40,3.56,ID,1619366155
495,mayumba,-3.432,10.6554,81.88,74,90,6.49,GA,1619366156
496,floresta,-8.6011,-38.5686,93.87,32,16,9.53,BR,1619366156
497,lahaina,20.8783,-156.6825,71.6,83,40,10.36,US,1619366156
498,juneau,58.3019,-134.4197,43.0,75,20,4.14,US,1619366157
499,husavik,66.0449,-17.3389,41.0,93,75,11.5,IS,1619366157
500,leh,34.1667,77.5833,36.84,25,2,5.21,IN,1619366157
501,riberalta,-10.9833,-66.1,80.6,89,75,11.5,BO,1619366158
502,cayenne,4.9333,-52.3333,84.99,83,75,10.36,GF,1619366158
503,katsuura,35.1333,140.3,55.0,31,100,3.0,JP,1619366158
504,acapulco,16.8634,-99.8901,84.2,51,90,5.1,MX,1619366158
505,jiexiu,37.0244,111.9125,54.93,68,100,4.29,CN,1619366159
506,arlit,18.7369,7.3853,106.25,7,88,12.19,NE,1619366159
507,vanavara,60.34,102.2797,33.69,98,100,7.47,RU,1619366159
508,santa rosalia,17.486,120.4348,75.0,74,0,4.29,PH,1619366064
509,ambon,-3.6954,128.1814,81.0,88,92,8.63,ID,1619366160
510,westport,41.1415,-73.3579,51.8,87,90,10.36,US,1619366160
511,port macquarie,-7.0349,29.7638,74.46,77,96,1.48,CD,1619366160
512,praia,14.9215,-23.5087,78.8,50,40,21.85,CV,1619366146
513,flin flon,48.4982,6.6557,62.6,29,0,12.66,FR,1619366161
514,esmeraldas,-19.7625,-44.3139,86.0,37,40,6.91,BR,1619366134
515,aden,12.7794,45.0367,82.76,82,76,16.62,YE,1619366161
516,jardim,-21.4803,-56.1381,72.75,87,96,6.13,BR,1619366162
517,yzeure,46.5644,3.355,71.6,35,0,13.8,FR,1619366162
518,buenaventura,3.8801,-77.0312,73.0,62,99,3.33,CO,1619366162
519,daru,-9.0763,143.2092,77.43,87,100,4.23,PG,1619366162
520,goba,7.0167,39.9833,53.11,93,100,2.82,ET,1619366163
521,wad madani,55.5301,44.2114,41.11,61,100,19.71,RU,1619366163
522,puerto carreno,36.5939,-6.233,69.8,73,20,12.66,ES,1619366163
523,kaeo,-35.1,173.7833,50.0,93,73,3.0,NZ,1619366153
524,colesberg,-30.72,25.0972,68.36,22,55,4.09,ZA,1619366164
